k,x,mind,final,cagr,mdd,qld3,qld5,dotcom
10,2.0,24,129.47772528266597,20.02969983675209,-46.622781302848026,38.38383838383838,43.93382352941176,-5.3994080558453454
10,2.0,26,122.43773729579114,19.77806506442381,-46.62278130284802,37.79461279461279,43.29044117647059,-5.3994080558453454
10,2.0,28,122.43773729579114,19.77806506442381,-46.62278130284802,37.79461279461279,43.29044117647059,-5.3994080558453454
10,2.0,30,106.2346006120499,19.141501237205148,-46.62278130284805,40.15151515151515,43.29044117647059,-15.60843907553875
10,2.5,0,141.62305117505431,20.434365516655294,-49.03149109610085,43.51851851851852,48.98897058823529,-21.830520925959362
10,2.5,1,141.62305117505431,20.434365516655294,-49.03149109610085,43.51851851851852,48.98897058823529,-21.830520925959362
10,2.5,2,149.84828272290562,20.689862442732544,-46.62278130284805,45.28619528619529,49.356617647058826,-17.618838080170253
10,2.5,3,159.38355468986143,20.969675332200445,-46.622781302848026,44.27609427609428,49.356617647058826,-12.246817539736021
10,2.5,4,180.04134102356,21.524371133147735,-46.62278130284805,40.99326599326599,55.42279411764706,-5.3994080558453454
10,2.5,5,167.28382068217994,21.189562025456876,-46.62278130284805,39.05723905723906,55.33088235294118,-5.3994080558453454
10,2.5,6,165.66125280721357,21.14522905143921,-46.62278130284802,44.023569023569024,49.44852941176471,-5.3994080558453454
10,2.5,7,160.72059235614583,21.00761616498472,-46.62278130284804,40.48821548821549,49.26470588235294,-5.3994080558453454
10,2.5,8,154.78944456685159,20.836933133364056,-46.622781302848026,38.46801346801347,55.60661764705882,-5.3994080558453454
10,2.5,9,176.69272725626195,21.438755915938135,-46.622781302848026,41.4983164983165,55.60661764705882,-5.3994080558453454
10,2.5,10,181.60991086098818,21.56394951952667,-46.62278130284804,45.28619528619529,55.60661764705882,-5.3994080558453454
10,2.5,11,173.05117064318807,21.34385999088726,-46.62278130284802,43.09764309764309,55.14705882352941,-5.3994080558453454
10,2.5,12,176.92323615807237,21.444699264722857,-46.62278130284806,44.86531986531986,55.14705882352941,-5.3994080558453454
10,2.5,13,182.53582090658037,21.58715807676106,-46.62278130284805,44.19191919191919,55.33088235294118,-5.3994080558453454
10,2.5,14,171.69164869936628,21.307938517647074,-46.62278130284802,40.48821548821549,55.14705882352941,-5.3994080558453454
10,2.5,15,164.34492822141638,21.108955348648205,-46.62278130284804,39.47811447811448,54.96323529411765,-5.3994080558453454
10,2.5,16,167.473841254164,21.19472680741705,-46.62278130284804,39.56228956228956,55.05514705882353,-5.3994080558453454
10,2.5,18,150.96976576357577,20.72364789878396,-46.62278130284805,38.88888888888889,54.6875,-5.3994080558453454
10,2.5,20,141.85758338385338,20.441846358847272,-46.62278130284802,38.804713804713806,48.4375,-5.3994080558453454
10,2.5,22,139.14372044562347,20.354545117684488,-46.62278130284804,38.804713804713806,47.97794117647059,-5.3994080558453454
10,2.5,24,129.47772528266597,20.02969983675209,-46.622781302848026,38.38383838383838,43.93382352941176,-5.3994080558453454
10,2.5,26,122.43773729579114,19.77806506442381,-46.62278130284802,37.79461279461279,43.29044117647059,-5.3994080558453454
10,2.5,28,122.43773729579114,19.77806506442381,-46.62278130284802,37.79461279461279,43.29044117647059,-5.3994080558453454
10,2.5,30,106.2346006120499,19.141501237205148,-46.62278130284805,40.15151515151515,43.29044117647059,-15.60843907553875
10,3.0,0,135.37837098843636,20.230665031656248,-49.03149109610082,43.18181818181818,48.62132352941176,-21.830520925959362
10,3.0,1,135.37837098843636,20.230665031656248,-49.03149109610082,43.18181818181818,48.62132352941176,-21.830520925959362
10,3.0,2,143.24092188471894,20.48572981490169,-46.622781302848026,40.06734006734007,49.080882352941174,-17.618838080170253
10,3.0,3,152.3557487092221,20.76506943396175,-46.62278130284804,44.19191919191919,49.080882352941174,-12.246817539736021
